Year,Block Number,Habitat Type,Flight Code,Bull Count,Cow Count,Calf Count,Count of unknown individuals ,Count of moose tracks,Total count
Année,Numéro du bloc,Type d'habitat,Code de vol,Nombre de mâles,Nombre de femelles,Nombre de veaux,Nombre d'individus inconnus,Nombre de pistes d'orignaux,Nombre total
1993,3,,,2,2,0,,,4
1993,5,,,0,0,0,,,0
1993,6,,,5,4,1,,,10
1993,7,,,2,4,2,,,8
1993,8,,,3,2,0,,,5
1993,12,,,0,0,0,,,0
2011,A,MWD,,0,0,0,0,1,1
2011,A,SWD,,0,2,2,0,1,5
2011,B,,,0,0,0,0,0,0
2011,C,,,0,0,0,0,0,0
2011,D,,,0,0,0,0,0,0
2011,E,,,0,0,0,0,0,0
2011,F,MWD,,1,0,0,0,0,1
2011,F,SWD,,0,2,2,0,0,4
2011,G,,,0,0,0,0,0,0
2011,G,MWD,,0,0,0,0,1,1
2011,G,SWD,,0,1,0,0,0,1
2011,H,MWD,,0,0,0,0,1,1
2011,I,,,0,0,0,0,0,0
2011,T,SWD,,0,0,0,1,1,2
2011,test,MWD,,0,0,0,1,1,2
2011,test,SWD,,0,2,2,1,3,8
2011,Z,MWD,,0,0,0,1,0,1
2012,A,MWD,,0,0,0,0,1,1
2012,A,SWD,,0,1,1,1,0,3
2012,B,MWD,,0,1,0,0,1,2
2012,B,SWD,,0,2,1,1,1,5
2012,C,MWD,,0,2,2,0,0,4
2012,C,SWD,,0,0,0,0,1,1
2012,D,MWD,,0,0,0,0,2,2
2012,D,SWD,,0,0,0,0,3,3
2012,F,MWD,,3,1,0,3,2,9
2012,G,MWD,,0,0,0,0,1,1
2013,V,HWD,1,0,1,1,0,0,2
2013,W,HWD,1,0,0,0,0,1,1
2013,BB,MWD,1,0,1,0,0,0,1
2013,C,MWD,1,0,2,0,0,0,2
2013,CC,MWD,2,0,0,0,0,1,1
2013,D,MWD,1,0,1,1,0,1,3
2013,H,MWD,2,0,0,0,0,2,2
2013,K,MWD,1,0,0,0,1,0,1
2013,K,MWD,2,0,0,0,0,1,1
2013,M,MWD,2,1,0,0,0,1,2
2013,M,MWD,1,0,0,0,0,1,1
2013,P,MWD,2,0,1,1,0,0,2
2013,Q,MWD,2,0,0,0,1,1,2
2013,U,MWD,2,0,0,0,0,1,1
2013,V,MWD,1,0,0,0,1,0,1
2013,V,MWD,2,0,1,1,0,0,2
2013,W,MWD,2,0,0,0,0,2,2
2013,X,MWD,1,0,0,0,0,1,1
2013,Z,MWD,2,0,0,0,0,1,1
2013,BB,SWD,1,0,1,1,0,2,4
2013,CC,SWD,1,0,0,0,1,0,1
2013,CC,SWD,2,0,0,0,1,2,3
2013,E,SWD,2,0,0,0,0,3,3
2013,F,SWD,1,1,2,1,0,0,4
2013,F,SWD,2,1,0,0,0,0,1
2013,G,SWD,1,1,3,2,0,0,6
2013,G,SWD,2,1,0,0,0,1,2
2013,H,SWD,1,1,1,0,0,0,2
2013,H,SWD,2,0,1,1,0,1,3
2013,J,SWD,1,1,0,0,0,1,2
2013,K,SWD,2,0,0,0,0,1,1
2013,M,SWD,2,0,2,0,0,0,2
2013,M,SWD,1,0,0,0,0,1,1
2013,O,SWD,1,0,1,0,0,0,1
2013,R,SWD,1,0,0,0,0,1,1
2013,T,SWD,1,0,1,1,0,1,3
2013,U,SWD,1,0,1,0,0,0,1
2013,V,SWD,1,0,0,0,1,0,1
2013,V,SWD,2,0,0,0,0,1,1
2013,W,SWD,1,3,0,0,0,0,3
2013,X,SWD,1,0,0,0,0,1,1
2013,Z,SWD,1,0,1,0,1,0,2
2014,A,Regen,1,0,1,0,0,0,1
2014,B,Regen,1,0,0,0,0,0,0
2014,C,Regen,1,0,0,0,0,1,1
2014,D,Regen,1,0,0,0,0,0,0
2014,E,Regen,1,0,0,0,0,2,2
2014,F,Regen,1,0,1,1,0,0,2
2014,G,Regen,1,0,3,2,0,0,5
2014,H,Regen,1,2,0,0,0,0,2
2014,I,Regen,1,0,0,0,1,1,2
2014,J,Regen,1,0,0,0,0,1,1
2014,K,Regen,1,0,0,0,0,0,0
2014,L,Regen,1,0,0,0,0,0,0
2014,M,Regen,1,0,0,0,0,0,0
2014,U,Regen,1,0,0,0,0,0,0
2014,V,Regen,1,0,0,0,0,0,0
2014,W,Regen,1,0,0,0,0,1,1
2014,BB,Regen,1,0,0,0,0,0,0
2014,CC,Regen,1,0,2,2,0,0,4
2014,DD,Regen,1,0,0,0,0,0,0
2014,N,SWD,1,0,0,0,0,1,1
2014,O,SWD,1,0,0,0,0,0,0
2014,P,SWD,1,0,0,0,0,0,0
2014,Q,SWD,1,0,0,0,0,0,0
2014,R,SWD,1,0,0,0,0,0,0
2014,S,SWD,1,0,0,0,1,0,1
2014,T,SWD,1,0,0,0,0,0,0
2014,X,SWD,1,0,0,0,0,0,0
2014,Y,HWD,1,0,0,0,0,0,0
2014,Z,HWD,1,0,0,0,0,0,0
2014,AA,HWD,1,0,0,0,0,0,0
2014,C,Regen,2,0,0,0,0,2,2
2014,D,Regen,2,0,1,0,0,0,1
2014,E,Regen,2,0,0,0,0,3,3
2014,F,Regen,2,0,0,0,0,1,1
2014,G,Regen,2,0,2,1,0,0,3
2014,H,Regen,2,2,0,0,0,0,2
